"","c*s*","c*s","cs*","cs"
"79",0.98,0.017,0.003,0
"80",0.999,0,0.001,0
"81",0.999,0,0.001,0
"82",0.999,0,0,0
"83",0.999,0,0.001,0
"Bilateria",0.999,0,0.001,0
"85",0.999,0,0.001,0
"Porifera",0.96,0.037,0.003,0
"Homosc_Calc",0.952,0.031,0.017,0
"Homoscleromorpha",0.906,0.091,0.003,0
"Calcarea",0.023,0,0.976,0.001
"90",0,0,0.999,0
"91",0.001,0,0.998,0
"92",0.045,0.952,0.003,0
"Hex_Dem",0.015,0.982,0.003,0
"94",0.007,0.99,0.003,0
"Hexactinellida",0.003,0.996,0,0.001
"96",0.003,0.996,0,0.001
"97",0.007,0.99,0.003,0
"98",0.004,0.995,0,0.001
"99",0,0.41,0.003,0.587
"Demospongiae",0.025,0.972,0.002,0
"101",0.655,0.343,0.002,0
"102",0.992,0.006,0.003,0
"103",0.99,0,0.01,0
"104",0.999,0,0.001,0
"105",0.916,0.084,0,0
"106",0.918,0.082,0,0
"107",0.992,0.008,0,0
"108",0.003,0.995,0.001,0.001
"109",0.001,0.999,0,0.001
"110",0,0.999,0,0
"111",0,0.999,0,0.001
"112",0,0.999,0,0
"113",0,1,0,0
"114",0,1,0,0
"115",0,1,0,0
"116",0,1,0,0
"117",0,1,0,0
"118",0,1,0,0
"119",0,1,0,0
"120",0,1,0,0
"121",0,1,0,0
"122",0,1,0,0
"123",0,1,0,0
"124",0,1,0,0
"125",0,1,0,0
"126",0,1,0,0
"127",0,1,0,0
"128",0,1,0,0
"129",0,1,0,0
"130",0,1,0,0
"131",0,1,0,0
"132",0,1,0,0
"133",0,1,0,0
"134",0,1,0,0
"135",0,1,0,0
"136",0,1,0,0
"137",0,1,0,0
"138",0,1,0,0
"139",0,1,0,0
"140",0,1,0,0
"141",0,1,0,0
"142",0,1,0,0
"143",0,1,0,0
"144",0,1,0,0
"145",0,1,0,0
"146",0,1,0,0
"147",0,1,0,0
"148",0,1,0,0
"149",0,1,0,0
"150",0,1,0,0
"151",0,1,0,0
"152",0,1,0,0
"153",0,1,0,0
