"","c*s*","c*s","cs*","cs"
"71",1,0,0,0
"Porifera",0.999,0.001,0,0
"Hex_Dem",0.933,0.067,0,0
"Demospongiae",0.931,0.069,0,0
"75",0.079,0.921,0,0
"76",0.003,0.997,0,0
"77",0,1,0,0
"78",0,1,0,0
"79",0,1,0,0
"80",0,1,0,0
"81",0,1,0,0
"82",0,1,0,0
"83",0,1,0,0
"84",0,1,0,0
"85",0,1,0,0
"86",0,1,0,0
"87",0,1,0,0
"88",0,1,0,0
"89",0,1,0,0
"90",0,1,0,0
"91",0,1,0,0
"92",0,1,0,0
"93",0,1,0,0
"94",0,1,0,0
"95",0,1,0,0
"96",0,1,0,0
"97",0,1,0,0
"98",0,1,0,0
"99",0,1,0,0
"100",0,1,0,0
"101",0,1,0,0
"102",0,1,0,0
"103",0,1,0,0
"104",0,1,0,0
"105",0,1,0,0
"106",0,1,0,0
"107",0,1,0,0
"108",0,1,0,0
"109",0,1,0,0
"110",0,1,0,0
"111",0,1,0,0
"112",0.001,0.999,0,0
"113",0,1,0,0
"114",0,1,0,0
"115",0,1,0,0
"116",0,1,0,0
"117",0,1,0,0
"118",0,1,0,0
"119",0.009,0.991,0,0
"120",0.003,0.997,0,0
"121",0.977,0.023,0,0
"122",0.999,0,0,0
"123",0.997,0,0.003,0
"124",1,0,0,0
"125",0.994,0.006,0,0
"126",0.993,0.007,0,0
"127",0.999,0.001,0,0
"Hexactinellida",0.146,0.854,0,0
"129",0.125,0.875,0,0
"Homosc_Calc",0.994,0.001,0.005,0
"Homoscleromorpha",0.987,0.012,0,0
"Calcarea",0.011,0,0.989,0
"133",0,0,1,0
"134",0,0,1,0
"135",1,0,0,0
"136",1,0,0,0
"137",1,0,0,0
"Bilateria",1,0,0,0
"139",1,0,0,0
