"","A","Pc*s*","Pc*s","Pcs*","Pcs"
"79",0.89,0,0.014,0,0.096
"80",0.999,0,0,0,0.001
"81",1,0,0,0,0
"82",0.999,0,0,0,0
"83",1,0,0,0,0
"Bilateria",0.999,0,0,0,0
"85",0.999,0,0,0,0
"Porifera",0.873,0,0.031,0,0.096
"Homosc_Calc",0.873,0.001,0.03,0.017,0.079
"Homoscleromorpha",0.836,0.001,0.13,0.002,0.032
"Calcarea",0.026,0.001,0,0.973,0
"90",0.001,0,0,0.999,0
"91",0.002,0,0,0.998,0
"92",0.025,0,0.879,0,0.096
"93",0.002,0,0.901,0,0.097
"94",0.002,0,0.547,0,0.452
"95",0.002,0,0.545,0,0.453
"96",0.001,0,0.799,0,0.2
"97",0,0,0.226,0.001,0.773
"Hex_Dem",0.002,0,0.914,0,0.084
"Hexactinellida",0,0,0.96,0,0.039
"100",0,0,0.963,0,0.036
"Demospongiae",0.01,0,0.938,0,0.052
"102",0.63,0,0.349,0,0.021
"103",0.992,0,0.006,0.002,0
"104",0.989,0,0,0.011,0
"105",1,0,0,0,0
"106",0.894,0,0.103,0,0.003
"107",0.897,0,0.102,0,0.001
"108",0.991,0,0.009,0,0
"109",0.001,0,0.971,0,0.028
"110",0,0,0.992,0,0.008
"111",0,0,0.996,0,0.004
"112",0,0,0.992,0,0.008
"113",0,0,0.995,0,0.005
"114",0,0,1,0,0
"115",0,0,1,0,0
"116",0,0,1,0,0
"117",0,0,1,0,0
"118",0,0,1,0,0
"119",0,0,1,0,0
"120",0,0,0.997,0,0.003
"121",0,0,0.999,0,0.001
"122",0,0,1,0,0
"123",0,0,1,0,0
"124",0,0,1,0,0
"125",0,0,1,0,0
"126",0,0,1,0,0
"127",0,0,1,0,0
"128",0,0,1,0,0
"129",0,0,1,0,0
"130",0,0,0.998,0,0.002
"131",0,0,1,0,0
"132",0,0,1,0,0
"133",0,0,0.999,0,0.001
"134",0,0,1,0,0
"135",0,0,1,0,0
"136",0,0,1,0,0
"137",0,0,1,0,0
"138",0,0,1,0,0
"139",0,0,1,0,0
"140",0,0,1,0,0
"141",0,0,1,0,0
"142",0,0,1,0,0
"143",0,0,1,0,0
"144",0,0,1,0,0
"145",0,0,1,0,0
"146",0,0,1,0,0
"147",0,0,1,0,0
"148",0,0,1,0,0
"149",0,0,1,0,0
"150",0,0,1,0,0
"151",0,0,1,0,0
"152",0,0,1,0,0
"153",0,0,1,0,0
"154",0,0,1,0,0
