"","c*s*","c*s1","c*s2","c*s3","cs*","cs1","cs2","cs3"
"79",0.994,0,0,0,0.006,0,0,0
"80",0.997,0,0,0,0.003,0,0,0
"81",0.998,0,0,0,0.002,0,0,0
"82",1,0,0,0,0,0,0,0
"83",0.998,0,0,0,0.002,0,0,0
"Bilateria",0.998,0,0,0,0.002,0,0,0
"85",0.998,0,0,0,0.002,0,0,0
"Porifera",0.992,0.002,0,0,0.006,0,0,0
"Homosc_Calc",0.987,0.001,0,0.001,0.011,0,0,0
"Homoscleromorpha",0.959,0.001,0.001,0.036,0.002,0,0,0
"Calcarea",0.018,0,0,0,0.982,0,0,0
"90",0,0,0,0,1,0,0,0
"91",0.001,0,0,0,0.999,0,0,0
"92",0.725,0.257,0.008,0.004,0.006,0,0,0
"Hex_Dem",0.711,0.271,0.008,0.004,0.006,0,0,0
"94",0.441,0.54,0.008,0.004,0.006,0,0,0
"Hexactinellida",0.028,0.968,0,0.002,0,0.003,0,0
"96",0.021,0.975,0,0.002,0,0.002,0,0
"97",0.441,0.539,0.009,0.004,0.006,0,0,0
"98",0.199,0.617,0.094,0.088,0.001,0,0,0
"99",0.003,0.266,0.048,0.046,0.131,0.375,0.067,0.064
"Demospongiae",0.826,0.073,0.093,0.003,0.005,0,0,0
"101",0.954,0.018,0.023,0.001,0.004,0,0,0
"102",0.996,0,0,0,0.003,0,0,0
"103",0.994,0,0,0,0.006,0,0,0
"104",0.999,0,0,0,0.001,0,0,0
"105",0.993,0.002,0.003,0.001,0.001,0,0,0
"106",0.99,0.003,0.004,0.002,0,0,0,0
"107",0.999,0,0,0,0,0,0,0
"108",0.057,0.003,0.935,0.001,0,0,0.003,0
"109",0.003,0,0.996,0,0,0,0.001,0
"110",0,0,0.999,0,0,0,0,0
"111",0.001,0,0.998,0,0,0,0.001,0
"112",0,0,0.999,0,0,0,0.001,0
"113",0,0,1,0,0,0,0,0
"114",0,0,1,0,0,0,0,0
"115",0,0,1,0,0,0,0,0
"116",0,0,1,0,0,0,0,0
"117",0,0,1,0,0,0,0,0
"118",0,0,1,0,0,0,0,0
"119",0,0,0.999,0,0,0,0.001,0
"120",0,0,1,0,0,0,0,0
"121",0,0,1,0,0,0,0,0
"122",0,0,1,0,0,0,0,0
"123",0,0,1,0,0,0,0,0
"124",0,0,1,0,0,0,0,0
"125",0,0,1,0,0,0,0,0
"126",0,0,1,0,0,0,0,0
"127",0,0,1,0,0,0,0,0
"128",0,0,1,0,0,0,0,0
"129",0,0,1,0,0,0,0,0
"130",0,0,1,0,0,0,0,0
"131",0,0,1,0,0,0,0,0
"132",0,0,1,0,0,0,0,0
"133",0,0,1,0,0,0,0,0
"134",0,0,1,0,0,0,0,0
"135",0,0,1,0,0,0,0,0
"136",0,0,1,0,0,0,0,0
"137",0,0,1,0,0,0,0,0
"138",0,0,1,0,0,0,0,0
"139",0,0,1,0,0,0,0,0
"140",0,0,1,0,0,0,0,0
"141",0,0,1,0,0,0,0,0
"142",0,0,1,0,0,0,0,0
"143",0,0,1,0,0,0,0,0
"144",0,0,1,0,0,0,0,0
"145",0,0,1,0,0,0,0,0
"146",0,0,1,0,0,0,0,0
"147",0,0,1,0,0,0,0,0
"148",0,0,1,0,0,0,0,0
"149",0,0,1,0,0,0,0,0
"150",0,0,1,0,0,0,0,0
"151",0,0,1,0,0,0,0,0
"152",0,0,1,0,0,0,0,0
"153",0,0,1,0,0,0,0,0
