"","A","Pc*s*","Pc*s1","Pc*s2","Pc*s3","Pcs*","Pcs1","Pcs2","Pcs3"
"79",0.998,0,0,0,0,0,0.002,0,0
"80",1,0,0,0,0,0,0,0,0
"81",1,0,0,0,0,0,0,0,0
"82",0.999,0,0,0,0,0,0,0,0
"83",1,0,0,0,0,0,0,0,0
"Bilateria",0.999,0,0,0,0,0,0,0,0
"85",0.999,0,0,0,0,0,0,0,0
"Porifera",0.997,0,0,0,0,0,0.002,0,0
"Homosc_Calc",0.988,0,0,0,0.001,0.01,0.001,0,0
"Homoscleromorpha",0.952,0.003,0,0,0.043,0.001,0,0,0
"Calcarea",0.03,0,0,0,0,0.97,0,0,0
"90",0.001,0,0,0,0,0.999,0,0,0
"91",0.003,0,0,0,0,0.997,0,0,0
"92",0.91,0,0.081,0.006,0.002,0,0.002,0,0
"Hex_Dem",0.905,0,0.085,0.006,0.001,0,0.002,0,0
"94",0.724,0,0.267,0.006,0.002,0,0.002,0,0
"Hexactinellida",0.035,0.005,0.957,0,0.001,0,0.001,0,0
"96",0.026,0.005,0.968,0,0.001,0,0.001,0,0
"97",0.724,0,0.267,0.006,0.002,0,0.002,0,0
"98",0.109,0.012,0.469,0.207,0.202,0,0.001,0,0
"99",0.005,0,0.114,0.006,0.004,0.41,0.258,0.103,0.1
"Demospongiae",0.977,0,0.001,0.021,0.001,0,0,0,0
"101",0.992,0,0,0.007,0,0,0,0,0
"102",0.999,0,0,0,0,0.001,0,0,0
"103",0.994,0,0,0,0,0.006,0,0,0
"104",1,0,0,0,0,0,0,0,0
"105",0.997,0,0,0.001,0,0,0,0,0
"106",0.992,0,0.002,0.003,0.002,0,0,0,0
"107",0.999,0,0,0,0,0,0,0,0
"108",0.064,0.002,0,0.934,0,0,0,0,0
"109",0.002,0.001,0,0.997,0,0,0,0,0
"110",0,0,0,0.999,0,0,0,0,0
"111",0.001,0,0,0.999,0,0,0,0,0
"112",0,0,0,1,0,0,0,0,0
"113",0,0,0,1,0,0,0,0,0
"114",0,0,0,1,0,0,0,0,0
"115",0,0,0,1,0,0,0,0,0
"116",0,0,0,1,0,0,0,0,0
"117",0,0,0,1,0,0,0,0,0
"118",0,0,0,1,0,0,0,0,0
"119",0,0,0,1,0,0,0,0,0
"120",0,0,0,1,0,0,0,0,0
"121",0,0,0,1,0,0,0,0,0
"122",0,0,0,1,0,0,0,0,0
"123",0,0,0,1,0,0,0,0,0
"124",0,0,0,1,0,0,0,0,0
"125",0,0,0,1,0,0,0,0,0
"126",0,0,0,1,0,0,0,0,0
"127",0,0,0,1,0,0,0,0,0
"128",0,0,0,1,0,0,0,0,0
"129",0,0,0,1,0,0,0,0,0
"130",0,0,0,1,0,0,0,0,0
"131",0,0,0,1,0,0,0,0,0
"132",0,0,0,1,0,0,0,0,0
"133",0,0,0,1,0,0,0,0,0
"134",0,0,0,1,0,0,0,0,0
"135",0,0,0,1,0,0,0,0,0
"136",0,0,0,1,0,0,0,0,0
"137",0,0,0,1,0,0,0,0,0
"138",0,0,0,1,0,0,0,0,0
"139",0,0,0,1,0,0,0,0,0
"140",0,0,0,1,0,0,0,0,0
"141",0,0,0,1,0,0,0,0,0
"142",0,0,0,1,0,0,0,0,0
"143",0,0,0,1,0,0,0,0,0
"144",0,0,0,1,0,0,0,0,0
"145",0,0,0,1,0,0,0,0,0
"146",0,0,0,1,0,0,0,0,0
"147",0,0,0,1,0,0,0,0,0
"148",0,0,0,1,0,0,0,0,0
"149",0,0,0,1,0,0,0,0,0
"150",0,0,0,1,0,0,0,0,0
"151",0,0,0,1,0,0,0,0,0
"152",0,0,0,1,0,0,0,0,0
"153",0,0,0,1,0,0,0,0,0
