"","A","Pc*s*","Pc*s1","Pc*s2","Pc*s3","Pcs*","Pcs1","Pcs2","Pcs3"
"79",0.998,0,0,0,0,0,0.002,0,0
"80",1,0,0,0,0,0,0,0,0
"81",1,0,0,0,0,0,0,0,0
"82",0.999,0,0,0,0,0,0,0,0
"83",1,0,0,0,0,0,0,0,0
"Bilateria",0.999,0,0,0,0,0,0,0,0
"85",0.999,0,0,0,0,0,0,0,0
"Porifera",0.995,0,0.003,0,0,0,0.002,0,0
"Homosc_Calc",0.987,0,0.001,0,0.001,0.01,0.001,0,0
"Homoscleromorpha",0.95,0.002,0.002,0.001,0.044,0.001,0,0,0
"Calcarea",0.027,0,0,0,0,0.973,0,0,0
"90",0.001,0,0,0,0,0.999,0,0,0
"91",0.002,0,0,0,0,0.998,0,0,0
"92",0.657,0,0.306,0.032,0.003,0,0.002,0,0
"93",0.637,0,0.323,0.034,0.002,0,0.002,0,0
"94",0.57,0,0.228,0.04,0.02,0.001,0.119,0.017,0.006
"95",0.57,0,0.227,0.04,0.02,0,0.119,0.017,0.006
"96",0.087,0.009,0.446,0.21,0.183,0,0.054,0.008,0.003
"97",0.004,0,0.106,0.025,0.017,0.307,0.325,0.12,0.097
"Hex_Dem",0.64,0,0.323,0.033,0.002,0,0.002,0,0
"Hexactinellida",0.029,0.005,0.965,0,0.001,0,0.001,0,0
"100",0.021,0.004,0.974,0,0.001,0,0.001,0,0
"Demospongiae",0.768,0,0.092,0.137,0.001,0,0,0,0
"102",0.937,0,0.024,0.038,0.001,0,0,0,0
"103",0.998,0,0,0.001,0,0.001,0,0,0
"104",0.994,0,0,0,0,0.006,0,0,0
"105",1,0,0,0,0,0,0,0,0
"106",0.99,0,0.004,0.006,0.001,0,0,0,0
"107",0.987,0,0.005,0.006,0.002,0,0,0,0
"108",0.999,0,0,0,0,0,0,0,0
"109",0.047,0.002,0.003,0.948,0,0,0,0,0
"110",0.002,0,0,0.998,0,0,0,0,0
"111",0,0,0,1,0,0,0,0,0
"112",0.001,0,0,0.999,0,0,0,0,0
"113",0,0,0,1,0,0,0,0,0
"114",0,0,0,1,0,0,0,0,0
"115",0,0,0,1,0,0,0,0,0
"116",0,0,0,1,0,0,0,0,0
"117",0,0,0,1,0,0,0,0,0
"118",0,0,0,1,0,0,0,0,0
"119",0,0,0,1,0,0,0,0,0
"120",0,0,0,1,0,0,0,0,0
"121",0,0,0,1,0,0,0,0,0
"122",0,0,0,1,0,0,0,0,0
"123",0,0,0,1,0,0,0,0,0
"124",0,0,0,1,0,0,0,0,0
"125",0,0,0,1,0,0,0,0,0
"126",0,0,0,1,0,0,0,0,0
"127",0,0,0,1,0,0,0,0,0
"128",0,0,0,1,0,0,0,0,0
"129",0,0,0,1,0,0,0,0,0
"130",0,0,0,1,0,0,0,0,0
"131",0,0,0,1,0,0,0,0,0
"132",0,0,0,1,0,0,0,0,0
"133",0,0,0,1,0,0,0,0,0
"134",0,0,0,1,0,0,0,0,0
"135",0,0,0,1,0,0,0,0,0
"136",0,0,0,1,0,0,0,0,0
"137",0,0,0,1,0,0,0,0,0
"138",0,0,0,1,0,0,0,0,0
"139",0,0,0,1,0,0,0,0,0
"140",0,0,0,1,0,0,0,0,0
"141",0,0,0,1,0,0,0,0,0
"142",0,0,0,1,0,0,0,0,0
"143",0,0,0,1,0,0,0,0,0
"144",0,0,0,1,0,0,0,0,0
"145",0,0,0,1,0,0,0,0,0
"146",0,0,0,1,0,0,0,0,0
"147",0,0,0,1,0,0,0,0,0
"148",0,0,0,1,0,0,0,0,0
"149",0,0,0,1,0,0,0,0,0
"150",0,0,0,1,0,0,0,0,0
"151",0,0,0,1,0,0,0,0,0
"152",0,0,0,1,0,0,0,0,0
"153",0,0,0,1,0,0,0,0,0
"154",0,0,0,1,0,0,0,0,0
